string,pred
"1 1/2 cup peach, frozen",peach
"1 1/2 cup pink grapefruit, fresh",pink grapefruit
1 1/2 cup raw turbinado sugar,turbinado sugar
1 1/2 cup red wine,red wine
1 1/2 cup seltzer,seltzer
"1 1/2 cup seltzer, chilled",seltzer
"1 1/2 cup seltzer, chilled (optional)",seltzer
1 1/2 cup sugar,sugar
1 1/2 cup turbinado sugar,turbinado sugar
1 1/2 cup unsweetened cocoa powder,cocoa powder
1 1/2 cup vodka,vodka
1 1/2 cup water,water
"1 1/2 cup water, cold",water
"1 1/2 cup whole milk, warmed to about ° F by microwaving for  seconds",whole milk
1 1/2 cups ( ounces; g) uncooked parboiled long-grain white rice,white rice rice
1 1/2 cups (10 ounces; 280g) uncooked parboiled long-grain white rice,white white rice
1 1/2 cups (355 ml) heavy cream,heavy cream
1 1/2 cups (375ml) whole milk,whole milk
"1 1/2 cups (8 ounces or 225 grams) cherry tomatoes, chopped small, plus more to taste",cherry tomatoes
"1 1/2 cups (9 1/2 ounces; 270g) dried field peas (cowpeas), preferably not black-eyed peas, rinsed, picked over for debris, and soaked overnight (see note)",peas peas
1 1/2 cups (about 13 1/2 ounces) risotto-style rice (see note),rice noodles
1 1/2 cups (packed) light brown sugar,light brown sugar
1 1/2 cups (packed) light brown sugar (optional),light brown sugar
1 1/2 cups all-purpose flour,flour flour
1 1/2 cups basmati or jasmine rice,jasmine rice
1 1/2 cups dashi,dashi
1 1/2 cups dry red wine (white works fine as well),white white tea
1 1/2 cups extra-virgin olive oil,olive oil
1 1/2 cups grated Monterey Jack cheese,monterey jack cheese
1 1/2 cups long-grain or Basmati rice,basmati rice
1 1/2 cups long-grain white rice,white rice
1 1/2 cups Monterey Jack cheese shredded,monterey jack cheese
1 1/2 cups orzo pasta (see note),ham
1 1/2 cups packed light brown sugar,light brown sugar
1 1/2 cups seafood stock or vegetable broth,pink broth
1 1/2 cups sugar,sugar
1 1/2 cups vegetable oil,vegetable oil
1 1/2 cups water,water
"1 1/2 cups water, 110 degrees F",water
"1 1/2 cups white basmati rice, rinsed well",brewed rice rice
1 1/2 cups whole milk,whole milk
1 1/2 dash chocolate bitters,chocolate bitters
1 1/2 dash orange bitters,orange bitters
1 1/2 floz chilled orange juice,orange juice
1 1/2 floz vodka,vodka
"1 1/2 jalapeno, sliced",jalapeno
1 1/2 large egg,egg
1 1/2 large egg (optional),egg
1 1/2 large egg yolks,egg yolks
1 1/2 leaf basil,basil
1 1/2 leaf fresh mint,mint
"1 1/2 leaf mint, fresh",mint
1 1/2 maraschino cherry,maraschino cherry
"1 1/2 medium grapefruit, zested",grapefruit
"1 1/2 medium grapefruit, zested (optional)",grapefruit
1 1/2 orange,orange
1 1/2 ounces (45ml) fresh juice from 2 limes,limes
1 1/2 oz agave nectar,agave nectar
1 1/2 oz aged rum,aged rum
1 1/2 oz allspice bitters,bitters
1 1/2 oz angostura bitters,angostura bitters
1 1/2 oz aperol,aperol
1 1/2 oz apple brandy,apple brandy
1 1/2 oz apple cider,apple cider
1 1/2 oz applejack,applejack
1 1/2 oz benedictine,benedictine
1 1/2 oz blanco tequila,blanco tequila
1 1/2 oz bourbon,bourbon
1 1/2 oz brandy,brandy
1 1/2 oz cachaca,cachaca
1 1/2 oz campari,campari
1 1/2 oz cardamom pod,cardamom pod
1 1/2 oz cinnamon simple syrup,ginger syrup syrup
1 1/2 oz citrus vodka,citrus vodka
1 1/2 oz cocchi americano,cocchi americano
1 1/2 oz coffee,coffee
1 1/2 oz cognac,cognac
1 1/2 oz cynar,cynar
1 1/2 oz dark rum,dark rum
1 1/2 oz demerara simple syrup,simple simple syrup
1 1/2 oz dry gin,dry gin
1 1/2 oz dry gin (optional),dry gin
1 1/2 oz dry sherry,dry sherry
1 1/2 oz dry vermouth,dry vermouth
1 1/2 oz dubonnet,dubonnet
1 1/2 oz fernet branca,fernet branca
1 1/2 oz frangelico,frangelico
1 1/2 oz fresh pomegranate juice,pomegranate juice
1 1/2 oz freshly squeezed lemon juice,lemon juice
1 1/2 oz freshly squeezed lime juice,lime juice
1 1/2 oz galliano,galliano
1 1/2 oz genever,genever
1 1/2 oz gin,gin
"1 1/2 oz ginger ale, chilled",ginger ale
"1 1/2 oz ginger juice, fresh",ginger juice
"1 1/2 oz ginger, peeled",ginger
1 1/2 oz grand marnier,grand marnier
1 1/2 oz granny smith apple cider,sparkling apple cider
1 1/2 oz granulated sugar,granulated sugar
"1 1/2 oz grapefruit juice, freshly squeezed",grapefruit juice
1 1/2 oz green chartreuse,green chartreuse
1 1/2 oz half and half,half and half
1 1/2 oz heavy cream,heavy cream
1 1/2 oz high-proof bourbon,bourbon
1 1/2 oz honey,honey
1 1/2 oz honey syrup,honey syrup
1 1/2 oz ice cube,ice cube
1 1/2 oz lemon,lemon
1 1/2 oz lemon juice,lemon juice
"1 1/2 oz lemon juice, fresh",lemon juice
"1 1/2 oz lemon juice, fresh squeezed",lemon juice
"1 1/2 oz lemon juice, freshly squeezed",lemon juice
1 1/2 oz lemon simple syrup,poppy simple syrup
1 1/2 oz light rum,light rum
1 1/2 oz lime juice,lime juice
"1 1/2 oz lime juice, fresh",lime juice
"1 1/2 oz lime juice, freshly squeezed",lime juice
"1 1/2 oz mango, diced",mango
1 1/2 oz maraschino liqueur,maraschino liqueur
1 1/2 oz mezcal,mezcal
1 1/2 oz mint simple syrup,simple syrup
1 1/2 oz montenegro amaro,montenegro amaro
1 1/2 oz old tom gin,old tom gin
"1 1/2 oz orange juice, fresh",orange juice
1 1/2 oz passionfruit simple syrup,simple syrup
1 1/2 oz pear brandy,pear brandy
"1 1/2 oz pineapple juice, fresh",pineapple juice
"1 1/2 oz pineapple juice, freshly squeezed",pineapple juice
"1 1/2 oz pineapple, diced",pineapple
1 1/2 oz port,port
1 1/2 oz prepared spiced apple simple syrup,ginger simple syrup
1 1/2 oz prepared spiced simple syrup,maple simple syrup
1 1/2 oz prosecco,prosecco
1 1/2 oz punt e mes,punt e mes
1 1/2 oz reposado tequila,reposado tequila
1 1/2 oz rose champagne,rose petal
1 1/2 oz ruby port,ruby port
1 1/2 oz rum,rum
1 1/2 oz rye whiskey,rye whiskey
1 1/2 oz scotch,scotch
1 1/2 oz seltzer,seltzer
1 1/2 oz sherry,sherry
1 1/2 oz simple syrup,simple syrup
1 1/2 oz suze,suze
1 1/2 oz sweet vermouth,sweet vermouth
1 1/2 oz tequila,tequila
1 1/2 oz tonic water,tonic water
1 1/2 oz triple sec,triple sec
1 1/2 oz vermouth,vermouth
1 1/2 oz vodka,vodka
"1 1/2 oz water, hot",water
1 1/2 oz whiskey,whiskey
1 1/2 oz white rum,white rum
1 1/2 oz yellow chartreuse,yellow bell pepper
1 1/2 pinch smoked salt,salt
"1 1/2 pomegranate seed, fresh",pomegranate seed
"1 1/2 pounds (675g) mixed mushrooms (such as shiitake, oyster, maitake, beech, cremini, and chanterelles), cleaned, trimmed, and thinly sliced or torn by hand (see note)",oyster
"1 1/2 pounds boneless skinless chicken thighs, trimmed of excess fat, and cut into 1/2 to 3/4-inch pieces",chicken thighs
1 1/2 pounds Brussels sprouts,brussels sprouts
"1 1/2 pounds Cajun-style andouille sausage (680g; about 8 links), sliced crosswise 1/2 inch thick",amaro
"1 1/2 pounds medium to firm silken tofu, cut into 1/2-inch cubes",extra firm tofu
"1 1/2 pounds sirloin beef, sliced into 1/4- to 1/8th-inch strips",lillet salmon
1 1/2 pt heavy cream,heavy cream
1 1/2 quarts (1.4L) homemade brown or white chicken stock or store-bought low-sodium chicken broth,chicken broth
1 1/2 salt,salt
1 1/2 slice lime,lime
1 1/2 slice strawberry,strawberry
1 1/2 sprig cilantro,cilantro
1 1/2 sprig mint,mint
"1 1/2 sprig mint, fresh",mint
1 1/2 stick celery,celery
"1 1/2 tablespoon fresh thyme leaves, roughly chopped",corn
1 1/2 tablespoon minced garlic (about 4 medium cloves),canned
1 1/2 tablespoons ghee or vegetable oil,kahlua oil
"1 1/2 tablespoons whole cumin seeds, toasted, then ground",cumin seeds
1 1/2 tbsp dark brown sugar,dark brown sugar
"1 1/2 tbsp dry sparkling wine, chilled",sparkling wine
1 1/2 tbsp extra virgin olive oil,extra virgin olive oil
1 1/2 tbsp granulated sugar,granulated sugar
"1 1/2 tbsp horseradish, grated",horseradish
1 1/2 tbsp lemongrass,lemongrass
"1 1/2 tbsp lime juice, freshly squeezed",lime juice
1 1/2 tbsp lime zest,lime zest
1 1/2 tbsp malted milk powder,malted milk powder
1 1/2 tbsp unsalted butter,unsalted butter
1 1/2 tbsp whole anise,anise
1 1/2 teaspoon garlic powder,garlic stock
1 1/2 teaspoon kosher salt,kosher salt
"1 1/2 teaspoons (4g) powdered gelatin, such as Knox",powdered gelatin
1 1/2 teaspoons baking powder,mustard powder
"1 1/2 teaspoons coriander seeds, toasted",coriander seeds
1 1/2 teaspoons ground cumin,ground cumin
1 1/2 teaspoons ground ginger,ground ginger
1 1/2 teaspoons kosher salt,kosher salt
"1 1/2 teaspoons whole coriander seeds, toasted, then ground",coriander seeds
"1 1/2 teaspoons whole cumin seeds, toasted",cumin seeds
1 1/2 to 2 tablespoons chili bean paste,coffee bean
"1 1/2 to 3 tablespoons powdered sugar, plus more to decorate",powdered milk
1 1/2 tsp absinthe,absinthe
1 1/2 tsp cinchona bark,cinchona bark
"1 1/2 tsp coriander seed, ground",coriander seed
1 1/2 tsp demerara simple syrup,simple simple syrup
1 1/2 tsp finely grated dark chocolate,dark chocolate
1 1/2 tsp grenadine,grenadine
1 1/2 tsp ground cinnamon,ground cinnamon
1 1/2 tsp ground pink peppercorn,pink peppercorn
"1 1/2 tsp pomegranate seed, ground",pomegranate seed
1 1/2 tsp sherry vinegar,sherry vinegar
1 1/2 tsp superfine sugar,superfine sugar
1 1/2 tsp vanilla extract,vanilla extract
"1 1/2 tsp. freshly ground black pepper, plus more",black pepper
"1 1/2 tsp. sugar, divided",sugar
1 1/2 twist orange,orange
1 1/2 wheel orange,orange
1 1/2 whole clove,clove
1 1/3 bottle scotch,scotch
1 1/3 cinnamon stick,cinnamon stick
"1 1/3 clove medium garlic, thinly sliced",garlic
1 1/3 cup ( grams) molasses or treacle [updated weight],molasses
1 1/3 cup (g) water or milk (see note),water water
1 1/3 cup (g) water or milk (see note) (optional),water
"1 1/3 cup apple cider, fresh",apple cider
1 1/3 cup bourbon,bourbon
"1 1/3 cup cardamom pod, lightly crushed",cardamom pod
1 1/3 cup ice cube,ice cube
"1 1/3 cup orange juice, fresh",orange juice
"1 1/3 cup peach, frozen",peach
"1 1/3 cup seltzer, chilled",seltzer
1 1/3 cup sugar,sugar
1 1/3 cup vanilla ice cream,vanilla ice cream
"1 1/3 cup water, boiling",water
1 1/3 cup yellow chartreuse,yellow bell pepper
1 1/3 cups all-purpose flour,flour flour
1 1/3 cups dashi,dashi
"1 1/3 dash lemon juice, fresh",lemon juice
1 1/3 dash orange bitters,orange bitters
1 1/3 dash orange bitters (optional),orange bitters
1 1/3 dash rose water,rose water
1 1/3 earl grey tea bag,earl grey tea bag
1 1/3 egg white,egg white
1 1/3 floz vodka,vodka
1 1/3 fluid ounces ( cups) half-and-half,nutmeg
1 1/3 ft cheesecloth,cheesecloth
1 1/3 ginger ale,ginger ale
1 1/3 ice cube,ice cube
1 1/3 ice cube (optional),ice cube
"1 1/3 in fresh pasta, fresh",fresh
1 1/3 leaf basil,basil
1 1/3 leaf mint,mint
1 1/3 lemon zest,lemon zest
"1 1/3 lime wedge, plus  lime wheels for garnish",lime lime
"1 1/3 lime wedge, plus  lime wheels for garnish (optional)",lime lime
1 1/3 maraschino cherry,maraschino cherry
"1 1/3 medium (-ounce; g) yellow onion, peeled, quartered, and root end trimmed",yellow onion
"1 1/3 medium cloves garlic, minced",garlic
1 1/3 orange,orange
"1 1/3 orange, quartered",orange
1 1/3 oz aged rum,aged rum
1 1/3 oz amaro,amaro
1 1/3 oz apple brandy,apple brandy
1 1/3 oz averna,averna
1 1/3 oz averna (optional),averna
1 1/3 oz basil simple syrup,simple syrup
"1 1/3 oz blood orange juice, fresh",blood orange juice
1 1/3 oz bourbon,bourbon
1 1/3 oz brandy,brandy
1 1/3 oz calvados,calvados
1 1/3 oz campari,campari
"1 1/3 oz celery juice, fresh",celery juice
1 1/3 oz cherry juice,cherry juice
1 1/3 oz cocchi americano,cocchi americano
"1 1/3 oz coconut water, chilled",coconut water
1 1/3 oz cointreau,cointreau
1 1/3 oz cranberry juice,cranberry juice
1 1/3 oz cynar,cynar
1 1/3 oz dark rum,dark rum
1 1/3 oz drambuie,drambuie
1 1/3 oz dry sherry,dry sherry
1 1/3 oz elderflower liqueur,elderflower liqueur
1 1/3 oz freshly squeezed lime juice,lime juice
1 1/3 oz ginger liqueur,ginger liqueur
1 1/3 oz gran classico,gran classico
1 1/3 oz grand marnier,grand marnier
1 1/3 oz hard cider,hard cider
1 1/3 oz honey syrup,honey syrup
1 1/3 oz irish whiskey,whiskey trout
"1 1/3 oz kale juice, fresh",kale juice
1 1/3 oz lemon juice,lemon juice
"1 1/3 oz lemon juice, fresh",lemon juice
"1 1/3 oz lemon juice, fresh squeezed",lemon juice
"1 1/3 oz lemon juice, freshly squeezed",lemon juice
"1 1/3 oz lemon, fresh",lemon
1 1/3 oz light rum,light rum
1 1/3 oz lime juice,lime juice
"1 1/3 oz lime juice, freshly squeezed",lime juice
1 1/3 oz mint simple syrup,simple syrup
1 1/3 oz montenegro amaro,montenegro amaro
1 1/3 oz old tom gin,old tom gin
"1 1/3 oz orange juice, fresh squeezed",orange juice
"1 1/3 oz orange juice, freshly squeezed",orange juice
1 1/3 oz orgeat,orgeat
1 1/3 oz pear brandy,pear brandy
1 1/3 oz pineapple simple syrup,white simple syrup
"1 1/3 oz pink grapefruit juice, fresh",pink grapefruit juice
"1 1/3 oz pink grapefruit, fresh",pink grapefruit
1 1/3 oz pomegranate molasses,pomegranate molasses
"1 1/3 oz prosecco, chilled",prosecco
1 1/3 oz rum,rum
1 1/3 oz rye whiskey,rye whiskey
1 1/3 oz seltzer,seltzer
"1 1/3 oz seltzer, chilled",seltzer
1 1/3 oz simple syrup,simple syrup
1 1/3 oz sparkling wine,sparkling wine
1 1/3 oz sweet vermouth,sweet vermouth
1 1/3 oz whiskey,whiskey
1 1/3 oz yellow chartreuse,yellow bell pepper
1 1/3 pinch smoked salt,salt
1 1/3 pt heavy cream,heavy cream
1 1/3 sparkling apple cider,sparkling apple cider
1 1/3 sprig cilantro,cilantro
1 1/3 sprig marjoram,marjoram
1 1/3 sprig rosemary,rosemary
1 1/3 sprig thyme,thyme
"1 1/3 tbsp ginger, minced",ginger
"1 1/3 tbsp lime juice, freshly squeezed",lime juice
"1 1/3 teaspoon freshly ground white pepper, plus more to taste",white pepper
"1 1/3 tsp cardamom pod, lightly crushed",cardamom pod
1 1/3 tsp cherry heering,cherry heering
1 1/3 tsp demerara simple syrup,simple simple syrup
1 1/3 tsp grand marnier,grand marnier
1 1/3 tsp granulated sugar,granulated sugar
1 1/3 tsp grenadine,grenadine
1 1/3 tsp hot sauce,hot sauce
1 1/3 tsp kosher salt,kosher salt
"1 1/3 tsp nutmeg, freshly grated",nutmeg
1 1/3 tsp simple syrup,simple syrup
1 1/3 tsp whole mace,paneer
1 1/3 tsp worcestershire sauce,worcestershire sauce
1 1/3 vanilla bean,vanilla bean
"1 1/3 wheel orange, for garnish",orange
1 1/4 barspoon brown sugar,brown sugar
1 1/4 barspoon brown sugar (optional),brown sugar
1 1/4 bay leaves,bay leaves
"1 1/4 bottle dry rose, cold",superfine sugar
1 1/4 brandied cherry,cherry
"1 1/4 cloves  garlic, crushed",garlic
1 1/4 cup apple cider,apple cider
1 1/4 cup coconut milk,coconut milk
1 1/4 cup coconut milk (optional),coconut milk
1 1/4 cup coffee bean,coffee bean
1 1/4 cup cranberry,cranberry
1 1/4 cup lemon juice,lemon juice
1 1/4 cup lime juice,lime juice
1 1/4 cup maple syrup,maple syrup
"1 1/4 cup pink grapefruit, fresh",pink grapefruit
1 1/4 cup pumpkin puree,pumpkin puree
"1 1/4 cup semisweet chocolate chip, chopped",chocolate chip
1 1/4 cup simple syrup,simple syrup
1 1/4 cup sugar,sugar
"1 1/4 cup water, cold",water
"1 1/4 cup water, cold (optional)",water
1 1/4 cups ( ounces; g) uncooked parboiled long-grain white rice,white rice rice
1 1/4 cups matzo meal (more or less as needed),nutmeg
1 1/4 dash lemon bitters,orange bitters
1 1/4 egg white,egg white
1 1/4 floz chilled orange juice,orange juice
1 1/4 fluid ounces heavy cream,heavy cream
1 1/4 ginger ale,ginger ale
"1 1/4 kiwi, peeled",kiwi
1 1/4 leaf cilantro,cilantro
1 1/4 leaf lime,lime
"1 1/4 leaf mint, fresh",mint
1 1/4 leaf sage,sage
1 1/4 lemon,lemon
1 1/4 lemon zest,lemon zest
"1 1/4 lemon, halved",lemon
1 1/4 lime zest,lime zest
"1 1/4 medium (-ounce; g) yellow onion, peeled, quartered, and root end trimmed",yellow onion
"1 1/4 medium beet, grated",beet
"1 1/4 medium lemon, zested",lemon
1 1/4 ounces (g) finely grated Gruyère or Comté cheese,potato tortillas
1 1/4 ounces (ml) high-quality blanco tequila (see note),blanco tequila
1 1/4 oz allspice bitters,bitters
